,run_ID,crop,p,c1,c2,fertilizer subsidy (%),land area (ha),yield (kg/ha),production (kg),Nuse (kg),Nfert (kg/ha)
116,f94f6625-0193-445a-a837-98f682ac5452,groundnuts,0,0,0,0.0,57126.51,2381.38,136040136.14,6322580.83,110.68
117,f94f6625-0193-445a-a837-98f682ac5452,maize,0,0,0,0.0,30955.11,2670.11,82653636.22,26002614.48,840.01
118,f94f6625-0193-445a-a837-98f682ac5452,sesame,0,0,0,0.0,94224.22,1462.27,137781372.47,10242046.63,108.7
119,f94f6625-0193-445a-a837-98f682ac5452,sorghum,0,0,0,0.0,142271.12,4271.34,607687904.37,28811973.58,202.51
120,fb8837ef-9047-4b04-850d-7e0c708e1197,cassava,-30,-50,-30,30.0,1199377.03,115.0,137924944.33,2975332.48,2.48
121,fb8837ef-9047-4b04-850d-7e0c708e1197,groundnuts,0,0,0,0.0,57126.51,2381.38,136040136.14,6322580.83,110.68
122,fb8837ef-9047-4b04-850d-7e0c708e1197,maize,0,0,0,0.0,30955.11,2670.11,82653636.22,26002614.48,840.01
123,fb8837ef-9047-4b04-850d-7e0c708e1197,sesame,0,0,0,0.0,94224.22,1462.27,137781372.47,10242046.63,108.7
124,fb8837ef-9047-4b04-850d-7e0c708e1197,sorghum,0,0,0,0.0,142271.12,4271.34,607687904.37,28811973.58,202.51
125,75cc6f44-fd4a-4fb7-a437-3bf73c505ff0,cassava,-20,-50,-30,30.0,1199791.78,128.1,153691554.81,4397430.06,3.67
126,75cc6f44-fd4a-4fb7-a437-3bf73c505ff0,groundnuts,0,0,0,0.0,57096.06,2382.23,136016095.61,6318462.07,110.66
127,75cc6f44-fd4a-4fb7-a437-3bf73c505ff0,maize,0,0,0,0.0,30788.67,2677.43,82434643.3,24672297.13,801.34
128,75cc6f44-fd4a-4fb7-a437-3bf73c505ff0,sesame,0,0,0,0.0,94150.13,1462.94,137736219.95,10229879.34,108.65
129,75cc6f44-fd4a-4fb7-a437-3bf73c505ff0,sorghum,0,0,0,0.0,142127.36,4274.32,607498173.31,28736479.41,202.19
130,2834ae19-2b78-42a4-878e-cabaef06cd0b,cassava,-10,-50,-30,30.0,1199791.78,128.1,153691554.81,4397430.06,3.67
131,2834ae19-2b78-42a4-878e-cabaef06cd0b,groundnuts,0,0,0,0.0,57096.06,2382.23,136016095.61,6318462.07,110.66
132,2834ae19-2b78-42a4-878e-cabaef06cd0b,maize,0,0,0,0.0,30788.67,2677.43,82434643.3,24672297.13,801.34
133,2834ae19-2b78-42a4-878e-cabaef06cd0b,sesame,0,0,0,0.0,94150.13,1462.94,137736219.95,10229879.34,108.65
134,2834ae19-2b78-42a4-878e-cabaef06cd0b,sorghum,0,0,0,0.0,142127.36,4274.32,607498173.31,28736479.41,202.19
135,4351a141-ca36-4d1c-bd91-41bac4c89b42,cassava,0,-50,-30,30.0,1200318.78,139.09,166953697.51,5936605.2,4.95
136,4351a141-ca36-4d1c-bd91-41bac4c89b42,groundnuts,0,0,0,0.0,57054.62,2383.41,135984692.28,6313187.7,110.65
137,4351a141-ca36-4d1c-bd91-41bac4c89b42,maize,0,0,0,0.0,30590.25,2686.29,82174197.88,23248250.05,759.99
138,4351a141-ca36-4d1c-bd91-41bac4c89b42,sesame,0,0,0,0.0,94050.66,1463.86,137677229.7,10214353.28,108.6
139,4351a141-ca36-4d1c-bd91-41bac4c89b42,sorghum,0,0,0,0.0,141939.69,4278.26,607255455.15,28642151.77,201.79
140,80dffe47-8279-4d24-9514-7764565246a1,cassava,10,-50,-30,30.0,1200628.94,144.0,172890551.81,6741659.49,5.62
141,80dffe47-8279-4d24-9514-7764565246a1,groundnuts,0,0,0,0.0,57029.25,2384.14,135965846.62,6310054.68,110.65
142,80dffe47-8279-4d24-9514-7764565246a1,maize,0,0,0,0.0,30478.4,2691.33,82027510.86,22510754.52,738.58
143,80dffe47-8279-4d24-9514-7764565246a1,sesame,0,0,0,0.0,93990.19,1464.43,137641832.97,10205151.03,108.58
144,80dffe47-8279-4d24-9514-7764565246a1,sorghum,0,0,0,0.0,141827.21,4280.64,607111419.16,28586928.28,201.56
145,e3161f5a-f570-4ed2-8803-9c5bb342eace,cassava,20,-50,-30,30.0,1200972.88,148.59,178448926.34,7566703.76,6.3
146,e3161f5a-f570-4ed2-8803-9c5bb342eace,groundnuts,0,0,0,0.0,57000.51,2384.97,135944675.33,6306552.01,110.64
147,e3161f5a-f570-4ed2-8803-9c5bb342eace,maize,0,0,0,0.0,30357.7,2696.82,81869230.69,21760728.87,716.81
148,e3161f5a-f570-4ed2-8803-9c5bb342eace,sesame,0,0,0,0.0,93921.89,1465.07,137602076.29,10194876.66,108.55
149,e3161f5a-f570-4ed2-8803-9c5bb342eace,sorghum,0,0,0,0.0,141701.01,4283.32,606950518.88,28525686.71,201.31
150,d1ce6f4c-4422-4e6c-9d3a-50b4f209dc3a,cassava,30,-50,-30,30.0,1200972.88,148.59,178448926.34,7566703.76,6.3
151,d1ce6f4c-4422-4e6c-9d3a-50b4f209dc3a,groundnuts,0,0,0,0.0,57000.51,2384.97,135944675.33,6306552.01,110.64
152,d1ce6f4c-4422-4e6c-9d3a-50b4f209dc3a,maize,0,0,0,0.0,30357.7,2696.82,81869230.69,21760728.87,716.81
153,d1ce6f4c-4422-4e6c-9d3a-50b4f209dc3a,sesame,0,0,0,0.0,93921.89,1465.07,137602076.29,10194876.66,108.55
154,d1ce6f4c-4422-4e6c-9d3a-50b4f209dc3a,sorghum,0,0,0,0.0,141701.01,4283.32,606950518.88,28525686.71,201.31
155,d5c9f802-9ad1-43e9-a6fd-029d73d8d787,cassava,40,-50,-30,30.0,1200972.88,148.59,178448926.34,7566703.76,6.3
156,d5c9f802-9ad1-43e9-a6fd-029d73d8d787,groundnuts,0,0,0,0.0,57000.51,2384.97,135944675.33,6306552.01,110.64
157,d5c9f802-9ad1-43e9-a6fd-029d73d8d787,maize,0,0,0,0.0,30357.7,2696.82,81869230.69,21760728.87,716.81
158,d5c9f802-9ad1-43e9-a6fd-029d73d8d787,sesame,0,0,0,0.0,93921.89,1465.07,137602076.29,10194876.66,108.55
159,d5c9f802-9ad1-43e9-a6fd-029d73d8d787,sorghum,0,0,0,0.0,141701.01,4283.32,606950518.88,28525686.71,201.31
160,bd5500bf-80bc-424b-8a80-6d956a33b559,cassava,50,-50,-30,30.0,1202229.42,160.76,193273582.02,10138864.78,8.43
161,bd5500bf-80bc-424b-8a80-6d956a33b559,groundnuts,0,0,0,0.0,56891.83,2388.13,135865222.71,6293475.85,110.62
162,bd5500bf-80bc-424b-8a80-6d956a33b559,maize,0,0,0,0.0,29939.06,2716.17,81319486.95,19465603.36,650.17
163,bd5500bf-80bc-424b-8a80-6d956a33b559,sesame,0,0,0,0.0,93664.49,1467.5,137452987.49,10156612.97,108.44
164,bd5500bf-80bc-424b-8a80-6d956a33b559,sorghum,0,0,0,0.0,141229.2,4293.38,606351117.59,28299991.04,200.38
165,17e82105-a7db-43ee-a86e-069b9b3ce609,cassava,-50,-50,-20,20.0,1199128.04,102.63,123070065.19,1975035.73,1.65
166,17e82105-a7db-43ee-a86e-069b9b3ce609,groundnuts,0,0,0,0.0,57143.02,2380.94,136054155.15,6325060.51,110.69
167,17e82105-a7db-43ee-a86e-069b9b3ce609,maize,0,0,0,0.0,31062.69,2665.44,82795845.57,26946045.9,867.47
168,17e82105-a7db-43ee-a86e-069b9b3ce609,sesame,0,0,0,0.0,94265.38,1461.91,137807683.21,10249406.23,108.73
169,17e82105-a7db-43ee-a86e-069b9b3ce609,sorghum,0,0,0,0.0,142354.87,4269.63,607802188.16,28858999.62,202.73
170,18bb5bad-defe-4370-a4d7-711b3f5e6064,cassava,-40,-50,-20,20.0,1199268.31,110.01,131930438.38,2535574.46,2.11
171,18bb5bad-defe-4370-a4d7-711b3f5e6064,groundnuts,0,0,0,0.0,57133.47,2381.2,136046256.28,6323678.48,110.68
172,18bb5bad-defe-4370-a4d7-711b3f5e6064,maize,0,0,0,0.0,31002.82,2668.04,82716894.28,26416942.35,852.08
173,18bb5bad-defe-4370-a4d7-711b3f5e6064,sesame,0,0,0,0.0,94241.78,1462.12,137792851.91,10245309.33,108.71
174,18bb5bad-defe-4370-a4d7-711b3f5e6064,sorghum,0,0,0,0.0,142307.62,4270.6,607738469.12,28833043.39,202.61
175,396bbfdc-da6b-46e2-97a0-af3146548c65,cassava,-30,-50,-20,20.0,1199268.31,110.01,131930438.38,2535574.46,2.11
176,396bbfdc-da6b-46e2-97a0-af3146548c65,groundnuts,0,0,0,0.0,57133.47,2381.2,136046256.28,6323678.48,110.68
177,396bbfdc-da6b-46e2-97a0-af3146548c65,maize,0,0,0,0.0,31002.82,2668.04,82716894.28,26416942.35,852.08
178,396bbfdc-da6b-46e2-97a0-af3146548c65,sesame,0,0,0,0.0,94241.78,1462.12,137792851.91,10245309.33,108.71
179,396bbfdc-da6b-46e2-97a0-af3146548c65,sorghum,0,0,0,0.0,142307.62,4270.6,607738469.12,28833043.39,202.61
180,d21a9f4e-ca3a-4daa-931d-2e67d139d078,cassava,-20,-50,-20,20.0,1199609.18,122.62,147097047.49,3752880.19,3.13
181,d21a9f4e-ca3a-4daa-931d-2e67d139d078,groundnuts,0,0,0,0.0,57108.6,2381.89,136026656.92,6320322.67,110.67
182,d21a9f4e-ca3a-4daa-931d-2e67d139d078,maize,0,0,0,0.0,30864.63,2674.1,82535217.78,25274472.67,818.88
183,d21a9f4e-ca3a-4daa-931d-2e67d139d078,sesame,0,0,0,0.0,94181.28,1462.67,137756033.43,10235393.37,108.68
184,d21a9f4e-ca3a-4daa-931d-2e67d139d078,sorghum,0,0,0,0.0,142190.31,4273.03,607583807.53,28771479.1,202.34
185,82678172-9000-4127-8d01-b5f1c83f7c08,cassava,-10,-50,-20,20.0,1199609.18,122.62,147097047.49,3752880.19,3.13
186,82678172-9000-4127-8d01-b5f1c83f7c08,groundnuts,0,0,0,0.0,57108.6,2381.89,136026656.92,6320322.67,110.67
187,82678172-9000-4127-8d01-b5f1c83f7c08,maize,0,0,0,0.0,30864.63,2674.1,82535217.78,25274472.67,818.88
188,82678172-9000-4127-8d01-b5f1c83f7c08,sesame,0,0,0,0.0,94181.28,1462.67,137756033.43,10235393.37,108.68
189,82678172-9000-4127-8d01-b5f1c83f7c08,sorghum,0,0,0,0.0,142190.31,4273.03,607583807.53,28771479.1,202.34
190,bd2f2e0e-4b4e-4172-a42b-2e05d06ba111,cassava,0,-50,-20,20.0,1200038.09,133.24,159891100.51,5074525.01,4.23
191,bd2f2e0e-4b4e-4172-a42b-2e05d06ba111,groundnuts,0,0,0,0.0,57074.98,2382.85,136001363.09,6316087.33,110.66
192,bd2f2e0e-4b4e-4172-a42b-2e05d06ba111,maize,0,0,0,0.0,30701.27,2681.36,82321146.11,24045216.59,783.2
193,bd2f2e0e-4b4e-4172-a42b-2e05d06ba111,sesame,0,0,0,0.0,94100.75,1463.42,137708501.52,10222924.16,108.64
