crop,p,c1,c2,land_area_ha,yield_kg_per_ha,production_kg,nuse_kg,nfert_kg_per_ha
sesame,10,-50,-50,1337152.64,206.07,275553458.42,51688682.78,38.66
maize,-10,40,40,66361.75,1414.94,93897757.13,5635098.56,84.91
sorghum,-30,-20,40,702690.32,907.44,637652360.92,12795111.05,18.21
sorghum,10,-20,0,1013938.05,782.14,793040806.54,45401800.25,44.78
sesame,-20,-20,20,1286764.47,177.08,227861004.38,25105003.81,19.51
maize,-20,-20,30,106759.69,976.35,104234880.45,6026814.92,56.45
maize,-50,-50,-20,553712.01,299.1,165617255.86,18690184.85,33.75
sesame,10,-40,-50,1286764.47,177.08,227861004.38,25105003.81,19.51
groundnuts,-50,-30,-10,1238883.08,151.37,187526195.44,12959087.17,10.46
sorghum,10,50,-50,188249.17,3463.99,652092597.39,46553121.73,247.3
sorghum,0,-20,-50,1122703.18,733.62,823635975.36,56789050.54,50.58
sesame,40,40,10,163041.33,973.49,158718514.63,13589203.71,83.35
sorghum,0,-50,20,1272742.75,624.26,794521809.41,41400002.42,32.53
maize,-40,20,30,24871.31,2749.65,68387495.18,2345426.35,94.3
groundnuts,-10,50,-50,56945.26,2460.18,140095343.84,7450314.38,130.83
cassava,-20,-20,30,1199810.8,125.2,150219216.46,4048676.91,3.37
sesame,30,40,30,131593.4,1102.77,145116769.25,9971985.76,75.78
cassava,-50,0,30,28847.69,3218.38,92842874.77,792486.45,27.47
groundnuts,-50,-10,-30,646848.14,235.12,152084210.22,6269600.79,9.69
groundnuts,0,30,-20,183685.91,866.16,159101768.44,8625773.48,46.96
sorghum,-30,40,-20,226213.06,2750.79,622263732.55,18669116.98,82.53
cassava,-10,0,-40,83992.5,1621.77,136216704.67,3229160.11,38.45
cassava,-40,-50,40,1198973.24,90.56,108578147.72,1260212.1,1.05
sorghum,30,40,40,226213.06,2750.79,622263732.55,18669116.98,82.53
sorghum,-10,-50,10,1326963.85,628.16,833550711.07,56481366.78,42.56
sesame,-40,-30,-10,1286764.47,177.08,227861004.38,25105003.81,19.51
sorghum,50,-50,0,1326963.85,628.16,833550711.07,56481366.78,42.56
sorghum,0,50,-40,167722.88,3799.71,637298830.21,42630803.56,254.17
sorghum,0,10,0,489914.31,1414.04,692759441.37,25182123.74,51.4
groundnuts,40,20,50,183685.91,866.16,159101768.44,8625773.48,46.96
cassava,50,-10,50,598948.73,243.52,145855943.36,3682172.01,6.15
